reviews_name,reviews_text,reviews_reviewer,reviews_date,reviews_stars
Awesome value for the money,Phone is simply superb in all aspects...low light performance of the camera is outstanding...you simply cannot go wrong with this phone,nagaraj s.,4 November 2018,5.0 out of 5 stars
Flagship Killer,"I got this phone on Friday evening.
Pros:
Great battery life
Amazing performance
Premium design
Impressive rear and front camera
In display fingerprint scanner is really fast
Cons:
No headphone jack but you'll get a converter
No notification LED
No microSD card slot
I will give points on my personal experience of 2 days full usage as below:
Weight: 9/10
OS: 10/10
Screen size: 10/10
CPU: 10/10
Performance: 10/10
Storage: 10/10 (you'll get approx 113 gb for use)
Battery: 8/10
Rear camera: 10/10
Front camera: 10/10
In display fingerprint scanner: 9/10
Face unlock: 10/10
I hope this will help full.",Tanmay Shukla,4 November 2018,5.0 out of 5 stars
"Worth the purchase, Great Pre Book Benefits","Got delivered in just 2.5 hours of my order. No bad overservations yet. Fingerprint unlock is also good, if you have face unlock ON then all the time it will unlock with face data before the the fingerprint works.",Ankur Tandon,6 November 2018,5.0 out of 5 stars
Prod to be OnePlus User,Always good.... Battery is Superb... But sound Quality is Little bit Louder ... Remaining is Super... 😍,Shiridi kompella,6 November 2018,5.0 out of 5 stars
Issue with the slow motion mode,Issue with the Camera Slow Motion Mode is Not Working in Home Black Shade is Moving from left to right Sound Quality is not that good,Shahid Shaikh,5 November 2018,5.0 out of 5 stars
"The best till date,just one word awesome","Very nice and fantastic phn, the best smart phn till date, awesome camera good battery life",RISHABH CHEEMA,4 November 2018,5.0 out of 5 stars
It is nice,I like its full display and picture quality is good but temperd glass should be given to all customers,Rajesh yadav,5 November 2018,4.0 out of 5 stars
Camera quality is very poor.,"Camera quality is not upto the mark. I visited one plus store and the store representative checked my phone and compared the camera quality with his demo phone. He noticed a significant difference between the two.
I request Amazon to replace my phone with a new one as it is evident that this phone has some problems.",Surbhi Garg,4 November 2018,2.0 out of 5 stars
Done the ma+h: 1+t > f1,"Amazing phone, just feels good.
Done the ma+h, price isn't everything.
You get what you pay for. :)
Excellent battery,
Great screen,
Amazing performance,
Smoooth OS,
Great camera,
Surprisingly decent audio,
Cool screen unlock and ridiculously fast face unlock.
The phone is worth every penny spent.",Inder C.,4 November 2018,5.0 out of 5 stars
Value for money!,"Crisp picture quality, impactful sound and an impressive battery life makes it a worthy investment. A blind buy for those who plan to upgrade to OnePlus from others...
Fingerprint sensor, face unlock are exciting features but not indispensible.
All in all its a fair deal if the base variant itself is 128gb!! What more can u ask for!!
I'm happy...
N yes...Thank you Amazon for the On time delivery..",Pri,5 November 2018,5.0 out of 5 stars
Awesome value for the money,Phone is simply superb in all aspects...low light performance of the camera is outstanding...you simply cannot go wrong with this phone,nagaraj s.,4 November 2018,5.0 out of 5 stars
Flagship Killer,"I got this phone on Friday evening.
Pros:
Great battery life
Amazing performance
Premium design
Impressive rear and front camera
In display fingerprint scanner is really fast
Cons:
No headphone jack but you'll get a converter
No notification LED
No microSD card slot
I will give points on my personal experience of 2 days full usage as below:
Weight: 9/10
OS: 10/10
Screen size: 10/10
CPU: 10/10
Performance: 10/10
Storage: 10/10 (you'll get approx 113 gb for use)
Battery: 8/10
Rear camera: 10/10
Front camera: 10/10
In display fingerprint scanner: 9/10
Face unlock: 10/10
I hope this will help full.",Tanmay Shukla,4 November 2018,5.0 out of 5 stars
"Worth the purchase, Great Pre Book Benefits","Got delivered in just 2.5 hours of my order. No bad overservations yet. Fingerprint unlock is also good, if you have face unlock ON then all the time it will unlock with face data before the the fingerprint works.",Ankur Tandon,6 November 2018,5.0 out of 5 stars
Prod to be OnePlus User,Always good.... Battery is Superb... But sound Quality is Little bit Louder ... Remaining is Super... 😍,Shiridi kompella,6 November 2018,5.0 out of 5 stars
Issue with the slow motion mode,Issue with the Camera Slow Motion Mode is Not Working in Home Black Shade is Moving from left to right Sound Quality is not that good,Shahid Shaikh,5 November 2018,5.0 out of 5 stars
"The best till date,just one word awesome","Very nice and fantastic phn, the best smart phn till date, awesome camera good battery life",RISHABH CHEEMA,4 November 2018,5.0 out of 5 stars
It is nice,I like its full display and picture quality is good but temperd glass should be given to all customers,Rajesh yadav,5 November 2018,4.0 out of 5 stars
Camera quality is very poor.,"Camera quality is not upto the mark. I visited one plus store and the store representative checked my phone and compared the camera quality with his demo phone. He noticed a significant difference between the two.
I request Amazon to replace my phone with a new one as it is evident that this phone has some problems.",Surbhi Garg,4 November 2018,2.0 out of 5 stars
Done the ma+h: 1+t > f1,"Amazing phone, just feels good.
Done the ma+h, price isn't everything.
You get what you pay for. :)
Excellent battery,
Great screen,
Amazing performance,
Smoooth OS,
Great camera,
Surprisingly decent audio,
Cool screen unlock and ridiculously fast face unlock.
The phone is worth every penny spent.",Inder C.,4 November 2018,5.0 out of 5 stars
Value for money!,"Crisp picture quality, impactful sound and an impressive battery life makes it a worthy investment. A blind buy for those who plan to upgrade to OnePlus from others...
Fingerprint sensor, face unlock are exciting features but not indispensible.
All in all its a fair deal if the base variant itself is 128gb!! What more can u ask for!!
I'm happy...
N yes...Thank you Amazon for the On time delivery..",Pri,5 November 2018,5.0 out of 5 stars
OnePlus-6T Edge-to-Edge 6D Tempered-...,,,,₹ 950.00 (63%)
Good camera flagship killer,Good phone working very fast and night mood is awesome look is very good,shubham gupta,4 November 2018,5.0 out of 5 stars
Good,Super nice,Rahul joshi,4 November 2018,5.0 out of 5 stars
Worst phone,"1. The Battery lasts max of 6 hours.
2. Major application not working in the upper side of the screen.
3. Camera quality is very poor.
4. Audio output through earphone is very poor, same earphone works with other phone is excellent.
5. While in a call unable to drop down the notification window.
6. Video quality is very poor compared to other less price phones.
I have applied for replacement, not going to take any replacement for such a worst product.",Saroj N.,4 November 2018,1.0 out of 5 stars
OnePlus 6T,I bought onepluse6t product on 1st Nov and today my phone cameras are not working . Please consider my experience with OnePlus before you buying this product.,Amazon Customer,4 November 2018,1.0 out of 5 stars
Amazing beast within the chasis of a beauty !!,"First and foremost...I really dont miss those 3.5 mm jack. Using bluetooth earpiece and the sound quality is top notch.
Picture quality - initial shots taken are impressive.
Battery life is best among all one plus phones.
Build quality is superb. No issues with call clarity and now the best part...Oxygen OS. Its buttery smooth, fluidic and unputdownable. You will ne addicted to it.
Only con is the weight of the device.",Kumar Saurav,11 November 2018,5.0 out of 5 stars
Amazing,One word Amazing phone,adosh dixit,7 November 2018,5.0 out of 5 stars
Pixel and camera quality issues,Camera pics are not having good quality. Pixel is not clear,Siddhant Mehta,7 November 2018,1.0 out of 5 stars
Not worth to buy 6T,One plus 6 was costing 28k during the big billion sale and 6T costs 38k. It is not worth to spend 10 k just for some small improvements.,abdulkadir garari,4 November 2018,1.0 out of 5 stars
