reviews_name,reviews_text,reviews_reviewer,reviews_date,reviews_verified
Defective handset delivered by seller,"I bought Samsung s9 plus 64gb N 29 TH OCT from seller APPARIO RETAIL PRIVATE LTD.
Cell was delivered on time but after installing the sim when started the cell found out the bottom touch sensor srcreen( Back ,home and multitasking touch area ) not operational .
How come new brand cell worth 64500 is defective .
Had no quality checks been done prior delivery done by the seller ????
Are these people selling defective handset ??????",Ashish,30 October 2018,Verified Purchase
0.000 marks for Amazon Transportation Services,"Display is best available in this planet right now. Camera may be too. Dolby Atmos works like a charm. Headphones are of top notch. Go for it if you have an iphone budget for an android.
Amazon Transportation Services i guess is the worst in this planet. . First when i called he mentioned that my office is closed due to Saturday. But u fortunately he forgot that it’s a bank and it remains open. He was caught in his play. Then The delivery guy postponed my delivery only because he needs to take a U turn on the highway to reach my office. Then he stopped picking my calls. Then one of my femal colleague called and he came for delivery. Sad state of affairs at Amazon Transportation Services. Also the delivery agent number couldn’t be reached because they are equipped with JIO phones. That adds to the agony.
During last order too the delivery guy canceled my order saying my address isn’t traceable. Sadly my address itself is a landmark in that area.
I escalated to Amazon and they did it again.
If possible avoid Amazon. They create depression instead of happiness.",Dibyajyoti Gogoi,4 November 2018,Verified Purchase
Great over all package,Great overall package. Loved the burgundy red colour. Nice edge display. Good sound quality. Camera is decent but pictures are oversaturated. Low light images are good. Battery lasts upto 1 day with decent usage. Personally preferred over note as it is less bulky and single hand use is possible.,winz,31 October 2018,Verified Purchase
The S9+ SM-G965F/DS Burgandy,"It’s a great futuristic phone with great camera in the segment available yet.
The burgandy edition (Not pure red) is an international version SM-G965F/DS
and a Non American model. (Difference is only- No FM, No Snapdragon chip and No Adreno GPU) but Samsung Exynos 9 chip and Mali GPU.
Package includes a transparent sturdy back cover and Burgandy AKG earphone.
Security includes Pin, Fingerprint, Pattern Lock, Face detection, Iris scan.
Also wireless fast charging is a plus.
Battery is 3500 mah but great if used with customized phone settings.",mukul326,26 November 2018,Verified Purchase
"Not meet Flagship phn specs, SAMSUNG can do better then this","Usage - 2 weeks
Like - atom dolby, bixby live translation, image search, camera, edge lighting, samsung health
Dislike - battery, bixby simply doesn't work seamlessly on voice commands, weight of the phone, no real fast charging
Superdislike - akg headphones, even those 50rs headphones sold in trains are better then the one you get out of the box from THE SAMSUNG.",Arun Kumar Saxena,3 November 2018,Verified Purchase
The Perfect Flagship Phone that you ever buy,"i am using this phone last 1 week , i feel premium build quality in every corner as much expected . .
1. camera is superb in every mode including selfie .
2. performance is too good and fare better than my past usage S DUOS , GALAXY S4 , GALAXY S5 .
3. I thought that same genetic problem will persist like hanging issue , warming issue , Battery die issue .
4. only battery is faster drainage in this phone , but fast charger is working good as expected .
5. trust me guys overall rating is 5 in this phone",RAHUL HATI,12 November 2018,Verified Purchase
Beautiful phone,"Top phone at a top value with top exchange offers. I exchanged it with nexus 6p. And I am happy it didn't disappoint me. Love this phone, what a colour!!! The battery is amazing. The camera is what Samsung is so famous for. The display is like you can't look further. What bothers me is those bloatware. Get rid of them!! Samsung are you listening me?",Prime 47,10 November 2018,Verified Purchase
The Almost perfect phone.,"If you're reading this you probably know about this being one of the most powerful phones in there market. Everything is seamless about this phone without a doubt. From having the best possible display to being water resistant, AKG powred sound grills, stunning camera with a smooth ois, expandable srorage also not forget the mighty headphone jack. However, the only department it lags in is the Battery. Gives me a 5-6 hour on screen time with mid/heavy usage. I'm keeping 5 stars as I'm sure battery can be optimised with some software fixes in the coming future. If you're looking for a high budget phone. I guess you don't need to think twice for this one!",Dushyant Vashisht,25 November 2018,Verified Purchase
1st one with my own sala6,"Wow...I bought this mobile with my own salary...this is my first Samsung product in my life. After I bought it on 29th October 2018 ,everyone said u should have bought iPhone.. but I taught of buying it from July and finally I got it on October it took time...but it never disappointed me...Very stylish and good looking...cons : battery life was less(3500 mah) drains fast this one I observed..till know..Thank you guys.",vamsi,12 November 2018,Verified Purchase
Defective handset delivered by seller,"I bought Samsung s9 plus 64gb N 29 TH OCT from seller APPARIO RETAIL PRIVATE LTD.
Cell was delivered on time but after installing the sim when started the cell found out the bottom touch sensor srcreen( Back ,home and multitasking touch area ) not operational .
How come new brand cell worth 64500 is defective .
Had no quality checks been done prior delivery done by the seller ????
Are these people selling defective handset ??????",Ashish,30 October 2018,Verified Purchase
0.000 marks for Amazon Transportation Services,"Display is best available in this planet right now. Camera may be too. Dolby Atmos works like a charm. Headphones are of top notch. Go for it if you have an iphone budget for an android.
Amazon Transportation Services i guess is the worst in this planet. . First when i called he mentioned that my office is closed due to Saturday. But u fortunately he forgot that it’s a bank and it remains open. He was caught in his play. Then The delivery guy postponed my delivery only because he needs to take a U turn on the highway to reach my office. Then he stopped picking my calls. Then one of my femal colleague called and he came for delivery. Sad state of affairs at Amazon Transportation Services. Also the delivery agent number couldn’t be reached because they are equipped with JIO phones. That adds to the agony.
During last order too the delivery guy canceled my order saying my address isn’t traceable. Sadly my address itself is a landmark in that area.
I escalated to Amazon and they did it again.
If possible avoid Amazon. They create depression instead of happiness.",Dibyajyoti Gogoi,4 November 2018,Verified Purchase
Great over all package,Great overall package. Loved the burgundy red colour. Nice edge display. Good sound quality. Camera is decent but pictures are oversaturated. Low light images are good. Battery lasts upto 1 day with decent usage. Personally preferred over note as it is less bulky and single hand use is possible.,winz,31 October 2018,Verified Purchase
The S9+ SM-G965F/DS Burgandy,"It’s a great futuristic phone with great camera in the segment available yet.
The burgandy edition (Not pure red) is an international version SM-G965F/DS
and a Non American model. (Difference is only- No FM, No Snapdragon chip and No Adreno GPU) but Samsung Exynos 9 chip and Mali GPU.
Package includes a transparent sturdy back cover and Burgandy AKG earphone.
Security includes Pin, Fingerprint, Pattern Lock, Face detection, Iris scan.
Also wireless fast charging is a plus.
Battery is 3500 mah but great if used with customized phone settings.",mukul326,26 November 2018,Verified Purchase
